"","ID","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld","day","ara1","ara_name","ara_id","kt","NUTS2_name","n","date","period"
"10157",174,-0.322876051603467,0.354059389056078,-1.01707607457604,-0.322945946275764,0.371725487791045,-0.323078828376666,3.60842504270128e-11,174,96,"St.Gallen (Au)","320302","SG","Eastern",138,2022-07-31,"2"
"10158",175,-0.313257444062911,0.349588334438741,-0.998684281735474,-0.313328720218566,0.372579176340985,-0.31346385115752,3.62291758698988e-11,175,96,"St.Gallen (Au)","320302","SG","Eastern",138,2022-08-01,"2"
"10159",176,-0.331620949390327,0.357733981503332,-1.03304487846453,-0.331684616321032,0.370169264943091,-0.331805110358273,3.57543884623282e-11,176,96,"St.Gallen (Au)","320302","SG","Eastern",138,2022-08-02,"2"
"10160",177,-0.350103064259664,0.358127327821785,-1.05230960703186,-0.350162524366556,0.352446186539246,-0.350274401198125,3.56520934956516e-11,177,96,"St.Gallen (Au)","320302","SG","Eastern",138,2022-08-03,"2"
"10161",178,-0.360765879858953,0.367004520355784,-1.08040614730481,-0.360817197617663,0.359170512973516,-0.360913422569191,3.51654346434984e-11,178,96,"St.Gallen (Au)","320302","SG","Eastern",138,2022-08-04,"2"
"10162",179,-0.371547383432302,0.369082341299261,-1.0952751879668,-0.37159419309657,0.352451062426008,-0.371681411709151,3.50394512836389e-11,179,96,"St.Gallen (Au)","320302","SG","Eastern",138,2022-08-05,"2"
"10163",180,-0.382447592286266,0.364477195211469,-1.09714235520239,-0.382494450454648,0.332518595401322,-0.382581214334928,3.52975501720715e-11,180,96,"St.Gallen (Au)","320302","SG","Eastern",138,2022-08-06,"2"
"10164",181,-0.368376856305818,0.366343338624759,-1.08673580334916,-0.368422326423337,0.350245493054153,-0.368506502519839,3.51522089240998e-11,181,96,"St.Gallen (Au)","320302","SG","Eastern",138,2022-08-07,"2"
"10165",182,-0.354424811381776,0.361292857170971,-1.06286805635909,-0.354473820679095,0.354302216536398,-0.354564656173761,3.53836160522767e-11,182,96,"St.Gallen (Au)","320302","SG","Eastern",138,2022-08-08,"2"
"10166",183,-0.321556821569351,0.363305636988448,-1.03394732197158,-0.321606154474597,0.391118970219626,-0.321697974430247,3.52459975238636e-11,183,96,"St.Gallen (Au)","320302","SG","Eastern",138,2022-08-09,"2"
"10167",184,-0.288807397058726,0.358130056225495,-0.991033128344405,-0.288861706445325,0.413732036240043,-0.288963149358659,3.54708631614316e-11,184,96,"St.Gallen (Au)","320302","SG","Eastern",138,2022-08-10,"2"
"10168",185,-0.257323732864039,0.363259039098498,-0.969615024863283,-0.257376083061221,0.455269629545058,-0.25747421103658,3.51952926976142e-11,185,96,"St.Gallen (Au)","320302","SG","Eastern",138,2022-08-11,"2"
"10169",186,-0.225958462378539,0.361205319566553,-0.934215584223402,-0.226013100897169,0.482613714754531,-0.226115734473343,3.52348723894229e-11,186,96,"St.Gallen (Au)","320302","SG","Eastern",138,2022-08-12,"2"
"10170",187,-0.194711508880596,0.351843069753922,-0.884590247964302,-0.194771944413824,0.495515764771226,-0.194885353711902,3.5445878914989e-11,187,96,"St.Gallen (Au)","320302","SG","Eastern",138,2022-08-13,"2"
"10171",188,-0.217803285830698,0.361049424650642,-0.925768641716117,-0.217852973912593,0.490449341704364,-0.217945490031742,3.47691223062859e-11,188,96,"St.Gallen (Au)","320302","SG","Eastern",138,2022-08-14,"2"
"10172",189,-0.241013358048713,0.362947052162766,-0.952720814312936,-0.241055756936464,0.470940316403962,-0.24113354816065,3.4366535118507e-11,189,96,"St.Gallen (Au)","320302","SG","Eastern",138,2022-08-15,"2"
"10173",190,-0.222115853361927,0.367732833919569,-0.94321674776556,-0.222155771784136,0.499216913521217,-0.222228974803145,3.4303641677882e-11,190,96,"St.Gallen (Au)","320302","SG","Eastern",138,2022-08-16,"2"
"10174",191,-0.203336638300907,0.365767501163544,-0.920576096801698,-0.203378871019252,0.514147998108996,-0.203456475984734,3.4533657155914e-11,191,96,"St.Gallen (Au)","320302","SG","Eastern",138,2022-08-17,"2"
"10175",192,-0.143468936241668,0.367377801667623,-0.863849090849763,-0.143517565484056,0.577192222001426,-0.1436083386476,3.48611323880058e-11,192,96,"St.Gallen (Au)","320302","SG","Eastern",138,2022-08-18,"2"
"10176",193,-0.0837193156788315,0.362218569486058,-0.793950921863604,-0.0837785096532952,0.62685320450228,-0.0838902068212262,3.56524405148857e-11,193,96,"St.Gallen (Au)","320302","SG","Eastern",138,2022-08-19,"2"
"10177",194,-0.0240876324634497,0.349990365122456,-0.710298951546297,-0.0241600070411656,0.662539910599675,-0.0242971482923457,3.68034120880824e-11,194,96,"St.Gallen (Au)","320302","SG","Eastern",138,2022-08-20,"2"
"10178",195,-0.0189734701065049,0.355880723902917,-0.716752463621041,-0.0190406411405576,0.679191920544793,-0.0191678548160014,3.62075539071879e-11,195,96,"St.Gallen (Au)","320302","SG","Eastern",138,2022-08-21,"2"
